.\.git\hooks,13,0,0
.\.git\info,1,0,0
.\.git\logs\refs\heads,1,0,0
.\.git\logs\refs\remotes\origin,1,0,0
.\.git\logs\refs\remotes,1,0,0
.\.git\logs\refs,2,0,0
.\.git\logs,2,0,0
.\.git\objects\06,1,0,0
.\.git\objects\25,1,0,0
.\.git\objects\36,1,0,0
.\.git\objects\37,1,0,0
.\.git\objects\52,1,0,0
.\.git\objects\60,1,0,0
.\.git\objects\64,1,0,0
.\.git\objects\66,1,0,0
.\.git\objects\6e,1,0,0
.\.git\objects\9d,1,0,0
.\.git\objects\9f,1,0,0
.\.git\objects\bd,1,0,0
.\.git\objects\c2,1,0,0
.\.git\objects\f7,1,0,0
.\.git\objects\f8,1,0,0
.\.git\objects\fc,1,0,0
.\.git\objects\info,0,0,0
.\.git\objects\pack,0,0,0
.\.git\objects,18,0,0
.\.git\refs\heads,1,0,0
.\.git\refs\remotes\origin,1,0,0
.\.git\refs\remotes,1,0,0
.\.git\refs\tags,0,0,0
.\.git\refs,3,0,0
.\.git,13,0,0
.,9,0,0
